Temperature,MidTemp,M.E_full,M.D_NoCorr,MBase,M.A_comp,M.B_fluct
1,24,2.6875459063026828,2.6746038807522776,22.085012731103056,2.4421769011560093,20.445172392480533
1,24,2.5926295814153297,2.5858208818990556,17.221349936157036,2.734647993293292,16.05306424771038
1,24,3.5832328827586526,3.569696151748603,19.257741695062407,3.7440221805462905,17.878238683564437
1,24,1.7864619685931773,1.7754082679635972,16.079530644754637,1.8587695508061657,14.843137809632339
1,24,1.6566325272375675,1.6380478292495702,14.093374786549456,1.8191430128329393,12.503340798076524
1,24,2.515682410676051,2.4964165525365996,15.008283942531284,2.6966588478702174,13.626041497515285
1,24,1.8493316002202207,1.8307964184366055,15.42516531913995,2.014316104901392,13.825044564099588
1,24,2.1983775216448747,2.1898861321134095,15.877912649626637,2.33648185856808,14.80981052156351
1,24,4.164611740358346,4.109537221856146,18.867284857878136,4.614610966028233,16.413621299220164
1,24,1.4833780203268263,1.4816581449037232,14.308523874309525,1.5471795010062943,13.453634936058007
1,24,3.179889951855648,3.157269591312651,13.483144581238628,3.407074518616535,12.25413226695486
1,24,1.011520833342782,1.0071332079635968,18.719655157456994,1.0614062123483936,17.45328083341731
1,24,1.6066512519044367,1.591362590198411,16.341481432273238,1.7465300998484363,14.794193360256383
1,24,1.5503868890064776,1.540050477226172,15.821383720131557,1.6313818893735688,14.407561311709822
1,24,1.9607656592541234,1.9459859079167807,16.28810275765884,2.0442431670093524,14.95096196090874
1,24,2.2929548908381943,2.2541415167711967,15.642116809368549,2.671579995189807,13.208729451959174
1,24,1.5071585107413996,1.4957628398283398,18.743370973862913,1.6288738411008228,17.024799255606183
1,24,2.701580301679943,2.6891587070202525,16.879164191389673,2.853314129679342,15.654747591120929
1,24,1.153459045324971,1.150823773435908,15.228921955385095,1.2140860620076819,14.316588368228862
1,24,2.1263855465350474,2.119228513542457,19.985212133152448,2.2331005986104753,18.74914290938759
1,24,1.8030110453653045,1.7818501510959905,14.482347304433203,2.027594998725942,12.739651839218809
1,24,1.364840067964592,1.351596295143459,14.65913788192375,1.4982389564060066,13.16999628979394
1,24,1.5875064279470723,1.5700880332400629,14.464889932992016,1.7204780143315006,12.9329173218584
1,24,3.1375696637970796,3.115782124285447,16.07825248370288,3.1198149156953745,14.737978561732794
1,24,1.9934645254568613,1.9692778990074744,15.323933848877713,2.0087131014495556,13.525726797185735
1,24,2.8362675533238755,2.8110593825256114,15.388511790626913,2.8856145807600706,14.003483036491275
1,24,1.8774810821481276,1.8538850127730444,17.231012724847083,2.069274904654659,15.103859631383182
1,24,2.4589544991811723,2.427552238835033,13.83357416524084,2.7565760753313735,12.078922549555063
1,24,2.990631940823878,2.9849584695568647,18.230607863972764,3.044323395392804,17.3321787206333
1,24,2.2680043616973298,2.2682815285998954,18.548486324917672,2.1979712133717073,17.508398045904517
1,24,1.231248196572405,1.2224091615458192,17.204111666860104,1.2817446884383878,15.762547728332464
1,24,1.6623456330247055,1.6480071134144896,12.798227561317974,1.835757295756097,11.486055764702126
1,24,1.6693348004948452,1.659776547645862,18.63164167933505,1.7528223517727377,17.20591099183201
1,24,2.7502235681941523,2.744410393766217,15.204846757478023,2.8963521516967456,14.225008607587336
1,24,1.721408171419239,1.7202163870750777,15.344264536020038,1.7786638508199706,14.416083689354574
1,24,1.2504019258662207,1.2491843957153705,14.708780240246762,1.3299157516569722,13.75826791484266
1,24,2.4065315168279136,2.395289890031947,16.370146992896466,2.572630155255829,15.154925950182522
1,24,2.646274431630172,2.619368633698491,21.02236939631641,2.9133239764478747,18.79188305725586
1,24,2.552899802491822,2.5477394404156546,16.043271861260408,2.6309343251187265,15.034245474907738
