LINE_ID,PrevTemp,GenNum,Prev_PAL_FEMALE,PAL_FEMALE,Prev_PAN_FEMALE,PAN_FEMALE,Prev_PAL_FEMALE_comp,Prev_PAN_FEMALE_comp,Temp20
C_S_R24,24.8,4,24,5,0,0,23,0,4.800000000000001
C_S_R24,25.2,5,5,38,4,8,4,3,5.199999999999999
C_S_R24,25.6,6,38,15,8,0,37,7,5.600000000000001
C_S_R24,26,7,15,8,0,0,14,0,6
C_S_R24,26.4,8,8,9,0,0,7,0,6.399999999999999
C_S_R24,26.8,9,9,2,4,18,8,3,6.800000000000001
C_S_R24,27.2,10,2,0,18,45,1,17,7.199999999999999
C_S_R25,24,2,3,30,0,7,2,0,4
C_S_R25,24.4,3,30,0,7,0,29,6,4.399999999999999
C_S_R26,24,2,3,29,0,10,2,0,4
C_S_R26,24.4,3,29,0,10,0,28,9,4.399999999999999
C_S_R27,24,2,3,22,0,6,2,0,4
C_S_R27,24.4,3,22,0,6,0,21,5,4.399999999999999
C_S_R28,24,2,3,22,0,9,2,0,4
C_S_R28,24.4,3,22,0,9,0,21,8,4.399999999999999
C_S_R29,24,2,3,21,0,8,2,0,4
C_S_R29,24.4,3,21,0,8,0,20,7,4.399999999999999
C_S_R3,24,2,3,17,0,7,2,0,4
C_S_R3,24.4,3,17,18,7,0,16,6,4.399999999999999
C_S_R3,24.8,4,18,40,0,0,17,0,4.800000000000001
C_S_R3,25.2,5,40,4,4,7,39,3,5.199999999999999
C_S_R3,25.6,6,4,16,7,28,3,6,5.600000000000001
C_S_R3,26,7,16,0,28,6,15,27,6
C_S_R30,24,2,3,17,0,9,2,0,4
C_S_R30,24.4,3,17,0,9,0,16,8,4.399999999999999
C_S_R31,24,2,3,45,0,8,2,0,4
C_S_R31,24.4,3,45,47,8,0,44,7,4.399999999999999
C_S_R31,24.8,4,47,11,0,0,46,0,4.800000000000001
C_S_R31,25.2,5,11,28,4,2,10,3,5.199999999999999
C_S_R31,25.6,6,28,20,2,0,27,1,5.600000000000001
C_S_R31,26,7,20,5,0,0,19,0,6
C_S_R31,26.4,8,5,1,0,0,4,0,6.399999999999999
C_S_R31,26.8,9,1,0,4,13,0,3,6.800000000000001
C_S_R32,24,2,3,39,0,10,2,0,4
C_S_R32,24.4,3,39,2,10,0,38,9,4.399999999999999
C_S_R32,24.8,4,2,0,0,0,1,0,4.800000000000001
C_S_R33,24,2,3,39,0,10,2,0,4
C_S_R33,24.4,3,39,0,10,0,38,9,4.399999999999999
C_S_R34,24,2,3,24,0,8,2,0,4
C_S_R34,24.4,3,24,43,8,0,23,7,4.399999999999999
C_S_R34,24.8,4,43,3,0,0,42,0,4.800000000000001
C_S_R34,25.2,5,3,18,4,1,2,3,5.199999999999999
C_S_R34,25.6,6,18,19,1,0,17,0,5.600000000000001
C_S_R34,26,7,19,9,0,0,18,0,6
C_S_R34,26.4,8,9,37,0,0,8,0,6.399999999999999
C_S_R34,26.8,9,37,8,4,8,36,3,6.800000000000001
C_S_R34,27.2,10,8,1,8,35,7,7,7.199999999999999
C_S_R35,24,2,3,35,0,12,2,0,4
C_S_R35,24.4,3,35,4,12,2,34,11,4.399999999999999
C_S_R35,24.8,4,4,31,2,2,3,1,4.800000000000001
C_S_R35,25.2,5,31,18,8,20,30,7,5.199999999999999
C_S_R35,25.6,6,18,0,20,20,17,19,5.600000000000001
C_S_R36,24,2,3,32,0,8,2,0,4
C_S_R36,24.4,3,32,0,8,0,31,7,4.399999999999999
C_S_R37,24,2,3,36,0,10,2,0,4
C_S_R37,24.4,3,36,21,10,1,35,9,4.399999999999999
C_S_R37,24.8,4,21,46,1,0,20,0,4.800000000000001
C_S_R37,25.2,5,46,19,3,2,45,2,5.199999999999999
C_S_R37,25.6,6,19,28,2,12,18,1,5.600000000000001
C_S_R37,26,7,28,0,12,33,27,11,6
C_S_R38,24,2,3,39,0,8,2,0,4
C_S_R38,24.4,3,39,17,8,0,38,7,4.399999999999999
C_S_R38,24.8,4,17,18,0,0,16,0,4.800000000000001
C_S_R38,25.2,5,18,4,4,1,17,3,5.199999999999999
C_S_R38,25.6,6,4,0,1,0,3,0,5.600000000000001
C_S_R39,24,2,3,32,0,7,2,0,4
C_S_R39,24.4,3,32,21,7,2,31,6,4.399999999999999
C_S_R39,24.8,4,21,25,2,0,20,1,4.800000000000001
C_S_R39,25.2,5,25,36,4,0,24,3,5.199999999999999
C_S_R39,25.6,6,36,29,0,0,35,0,5.600000000000001
C_S_R39,26,7,29,0,0,0,28,0,6
C_S_R4,24,2,3,38,0,7,2,0,4
C_S_R4,24.4,3,38,20,7,1,37,6,4.399999999999999
C_S_R4,24.8,4,20,25,1,0,19,0,4.800000000000001
C_S_R4,25.2,5,25,25,3,0,24,2,5.199999999999999
C_S_R4,25.6,6,25,20,0,0,24,0,5.600000000000001
C_S_R4,26,7,20,0,0,0,19,0,6
C_S_R40,24,2,3,30,0,9,2,0,4
C_S_R40,24.4,3,30,13,9,0,29,8,4.399999999999999
C_S_R40,24.8,4,13,18,0,0,12,0,4.800000000000001
C_S_R40,25.2,5,18,42,4,0,17,3,5.199999999999999
C_S_R40,25.6,6,42,7,0,0,41,0,5.600000000000001
C_S_R40,26,7,7,16,0,0,6,0,6
C_S_R40,26.4,8,16,20,0,0,15,0,6.399999999999999
C_S_R40,26.8,9,20,1,4,0,19,3,6.800000000000001
C_S_R40,27.2,10,1,0,0,0,0,0,7.199999999999999
C_S_R41,24,2,3,42,0,10,2,0,4
C_S_R41,24.4,3,42,19,10,3,41,9,4.399999999999999
C_S_R41,24.8,4,19,33,3,0,18,2,4.800000000000001
C_S_R41,25.2,5,33,16,4,3,32,3,5.199999999999999
C_S_R41,25.6,6,16,22,3,2,15,2,5.600000000000001
C_S_R41,26,7,22,0,2,0,21,1,6
C_S_R42,24,2,3,19,0,8,2,0,4
C_S_R42,24.4,3,19,27,8,0,18,7,4.399999999999999
C_S_R42,24.8,4,27,33,0,0,26,0,4.800000000000001
C_S_R42,25.2,5,33,44,4,0,32,3,5.199999999999999
C_S_R42,25.6,6,44,7,0,0,43,0,5.600000000000001
C_S_R42,26,7,7,28,0,0,6,0,6
C_S_R42,26.4,8,28,0,0,0,27,0,6.399999999999999
C_S_R43,24,2,3,15,0,6,2,0,4
C_S_R43,24.4,3,15,44,6,0,14,5,4.399999999999999
C_S_R43,24.8,4,44,0,0,0,43,0,4.800000000000001
C_S_R44,24,2,3,36,0,6,2,0,4
C_S_R44,24.4,3,36,2,6,0,35,5,4.399999999999999
C_S_R44,24.8,4,2,3,0,0,1,0,4.800000000000001
C_S_R44,25.2,5,3,28,4,3,2,3,5.199999999999999
C_S_R44,25.6,6,28,10,3,0,27,2,5.600000000000001
C_S_R44,26,7,10,9,0,0,9,0,6
C_S_R44,26.4,8,9,0,0,0,8,0,6.399999999999999
C_S_R45,24,2,3,35,0,6,2,0,4
